K,a,b,c,d,seed,obj
8,0.032890540167673336,100000.0,0.00044727375230632724,100.0,0,-269821057.55890274
8,0.032890540167673336,100000.0,0.00044727375230632724,1000.0,0,-369449652.06909764
8,0.032890540167673336,100000.0,0.00044727375230632724,10000.0,0,-505602875.6098251
8,0.032890540167673336,100000.0,0.00044727375230632724,100000.0,0,-649023732.4376655
8,0.032890540167673336,100000.0,0.00044727375230632724,1000000.0,0,-793244686.82239
8,0.032890540167673336,100000.0,0.00044727375230632724,10000000.0,0,-937522579.3482177
8,0.032890540167673336,100000.0,0.00044727375230632724,100000000.0,0,-1081809358.1762395
8,0.032890540167673336,100000.0,0.00044727375230632724,1000000000.0,0,-1226095244.154776
8,0.032890540167673336,1000000.0,0.00044727375230632724,1e-09,0,-206072514.05228862
8,0.032890540167673336,1000000.0,0.00044727375230632724,1e-08,0,-206072516.71539575
8,0.032890540167673336,1000000.0,0.00044727375230632724,1e-07,0,-206072543.3462074
8,0.032890540167673336,1000000.0,0.00044727375230632724,1e-06,0,-206072809.628247
8,0.032890540167673336,1000000.0,0.00044727375230632724,1e-05,0,-206075469.84447503
8,0.032890540167673336,1000000.0,0.00044727375230632724,0.0001,0,-206106610.76541972
8,0.032890540167673336,1000000.0,0.00044727375230632724,0.001,0,-206328801.69566184
8,0.032890540167673336,1000000.0,0.00044727375230632724,0.01,0,-207561742.50336695
8,0.032890540167673336,1000000.0,0.00044727375230632724,0.1,0,-211972680.5317305
8,0.032890540167673336,1000000.0,0.00044727375230632724,1.0,0,-226275784.40318483
8,0.032890540167673336,1000000.0,0.00044727375230632724,10.0,0,-269785919.6544726
8,0.032890540167673336,1000000.0,0.00044727375230632724,100.0,0,-369415475.2507643
8,0.032890540167673336,1000000.0,0.00044727375230632724,1000.0,0,-505549737.52846617
8,0.032890540167673336,1000000.0,0.00044727375230632724,10000.0,0,-648930212.6076052
8,0.032890540167673336,1000000.0,0.00044727375230632724,100000.0,0,-793150824.797626
8,0.032890540167673336,1000000.0,0.00044727375230632724,1000000.0,0,-937474962.5545616
8,0.032890540167673336,1000000.0,0.00044727375230632724,10000000.0,0,-1081793326.1341195
8,0.032890540167673336,1000000.0,0.00044727375230632724,100000000.0,0,-1226079375.1894271
8,0.032890540167673336,1000000.0,0.00044727375230632724,1000000000.0,0,-1370373846.9847562
8,0.032890540167673336,10000000.0,0.00044727375230632724,1e-09,0,-206061586.9307415
8,0.032890540167673336,10000000.0,0.00044727375230632724,1e-08,0,-206061613.560706
8,0.032890540167673336,10000000.0,0.00044727375230632724,1e-07,0,-206061879.83427837
8,0.032890540167673336,10000000.0,0.00044727375230632724,1e-06,0,-206064539.96603626
8,0.032890540167673336,10000000.0,0.00044727375230632724,1e-05,0,-206096077.5137533
8,0.032890540167673336,10000000.0,0.00044727375230632724,0.0001,0,-206322270.6328646
8,0.032890540167673336,10000000.0,0.00044727375230632724,0.001,0,-207553764.23099807
